strategy,params,params_json,profit,bankrupt,dd50,dd80,worst_dd
fixed_fraction,2.0%,"{""pct"": 2.0}",292.41085783209803,0.0,44.4,1.39,-92.43218704081053
exponential_roi,base=1.0%_e=2.0,"{""base"": 1.0, ""exp"": 2.0}",282.7582274676245,0.0,41.74,1.11,-92.42821548361279
adaptive_constant_profit,k=0.70_var,"{""k"": 0.7}",266.6306631762419,0.0,28.67,0.41000000000000003,-91.23490338778801
anti_martingale,base=0.5%_m=3.0,"{""base"": 0.5, ""mult"": 3.0}",261.94987508346696,0.0,87.63,14.099999999999998,-97.9788152578175
anti_martingale,base=1.5%_m=1.3,"{""base"": 1.5, ""mult"": 1.3}",257.4812445059041,0.0,34.31,0.52,-90.7830765463339
anti_martingale,base=1.0%_m=1.8,"{""base"": 1.0, ""mult"": 1.8}",243.74209730601953,0.0,45.129999999999995,1.11,-93.63481089545265
exponential_roi,base=1.0%_e=1.7,"{""base"": 1.0, ""exp"": 1.7}",237.82785736996243,0.0,31.06,0.43,-89.55532537162757
adaptive_constant_profit,k=0.65_var,"{""k"": 0.65}",235.3160451983708,0.0,22.17,0.15,-89.16543330601286
anti_martingale,base=1.5%_m=1.2,"{""base"": 1.5, ""mult"": 1.2}",227.85338350555602,0.0,26.71,0.27,-89.28111416212332
anti_martingale,base=1.0%_m=1.7,"{""base"": 1.0, ""mult"": 1.7}",214.99768550018257,0.0,32.910000000000004,0.38,-91.08718729583055
exponential_roi,base=1.0%_e=1.5,"{""base"": 1.0, ""exp"": 1.5}",212.8165791924854,0.0,24.79,0.25,-87.41745702009197
adaptive_constant_profit,k=0.60_var,"{""k"": 0.6}",206.5091842270263,0.0,16.1,0.09,-86.70892282452533
exponential_roi,base=1.0%_e=1.3,"{""base"": 1.0, ""exp"": 1.3}",191.02853064661892,0.0,19.16,0.13999999999999999,-85.12388220101624
anti_martingale,base=1.0%_m=1.6,"{""base"": 1.0, ""mult"": 1.6}",190.4561771265996,0.0,22.74,0.11,-88.21438049702685
anti_martingale,base=0.5%_m=2.5,"{""base"": 0.5, ""mult"": 2.5}",183.51549177217098,0.0,62.2,2.78,-94.29993941714235
adaptive_constant_profit,k=0.55_var,"{""k"": 0.55}",180.01768376606503,0.0,10.82,0.01,-83.80960260280851
anti_martingale,base=1.0%_m=1.5,"{""base"": 1.0, ""mult"": 1.5}",169.43099395298952,0.0,15.03,0.04,-85.18205694717628
linear_roi,base=1.0%,"{""base"": 1.0}",163.06794998056813,0.0,12.42,0.02,-81.2706088679722
adaptive_constant_profit,k=0.50_var,"{""k"": 0.5}",155.6745839330185,0.0,6.65,0.01,-80.40581702018692
anti_martingale,base=1.0%_m=1.4,"{""base"": 1.0, ""mult"": 1.4}",151.36516547124384,0.0,9.84,0.01,-81.76729865126721
anti_martingale,base=1.0%_m=1.3,"{""base"": 1.0, ""mult"": 1.3}",135.80279031898965,0.0,6.370000000000001,0.0,-78.10263706462304
adaptive_constant_profit,k=0.45_var,"{""k"": 0.45}",133.3266432694171,0.0,3.6999999999999997,0.0,-76.42961777159101
sqrt_roi,base=1.0%,"{""base"": 1.0}",127.30929477013647,0.0,5.43,0.0,-73.72158401292683
anti_martingale,base=1.0%_m=1.2,"{""base"": 1.0, ""mult"": 1.2}",122.36779551078025,0.0,4.07,0.0,-74.14856919043889
adaptive_constant_profit,k=0.40_var,"{""k"": 0.4}",112.8220682144063,0.0,1.5599999999999998,0.0,-71.80634518313096
anti_martingale,base=0.5%_m=2.0,"{""base"": 0.5, ""mult"": 2.0}",106.73643861753061,0.0,8.63,0.01,-80.74771280426467
fixed_fraction,1.0%,"{""pct"": 1.0}",100.59608849850048,0.0,1.72,0.0,-67.86901979566265
adaptive_constant_profit,k=0.35_var,"{""k"": 0.35}",94.01828019514373,0.0,0.5,0.0,-66.45419759793258
anti_martingale,base=0.5%_m=1.8,"{""base"": 0.5, ""mult"": 1.8}",87.07034734965127,0.0,2.01,0.0,-72.63925670955868
anti_martingale,base=0.5%_m=1.7,"{""base"": 0.5, ""mult"": 1.7}",78.86825263224658,0.0,0.79,0.0,-68.12296017790757
adaptive_constant_profit,k=0.30_var,"{""k"": 0.3}",76.78243394064727,0.0,0.13,0.0,-60.28378915163009
anti_martingale,base=0.5%_m=1.6,"{""base"": 0.5, ""mult"": 1.6}",71.58435853151202,0.0,0.33999999999999997,0.0,-63.835361162824036
adaptive_constant_profit,k=0.28_var,"{""k"": 0.28}",70.29920621532005,0.0,0.1,0.0,-57.564970456305694
anti_martingale,base=0.5%_m=1.5,"{""base"": 0.5, ""mult"": 1.5}",65.11314094928065,0.0,0.1,0.0,-59.79854887496139
adaptive_constant_profit,k=0.25_var,"{""k"": 0.25}",60.99132324562102,0.0,0.01,0.0,-53.19769620337742
anti_martingale,base=0.5%_m=1.4,"{""base"": 0.5, ""mult"": 1.4}",59.36285011976792,0.0,0.04,0.0,-55.73023414597925
anti_martingale,base=0.5%_m=1.3,"{""base"": 0.5, ""mult"": 1.3}",54.2533594284135,0.0,0.01,0.0,-51.773276726964
adaptive_constant_profit,k=0.22_var,"{""k"": 0.22}",52.16232245609204,0.0,0.0,0.0,-48.46281447507806
anti_martingale,base=0.5%_m=1.2,"{""base"": 0.5, ""mult"": 1.2}",49.714380953327016,0.0,0.0,0.0,-47.84789261474419
adaptive_constant_profit,k=0.20_var,"{""k"": 0.2}",46.53089391081261,0.0,0.0,0.0,-45.089992607339816
adaptive_constant_profit,k=0.18_var,"{""k"": 0.18}",41.09539747391882,0.0,0.0,0.0,-41.53543431619225
adaptive_constant_profit,k=0.15_var,"{""k"": 0.15}",33.29559250969015,0.0,0.0,0.0,-35.84577389547414
adaptive_constant_profit,k=0.12_var,"{""k"": 0.12}",25.901535823965837,0.0,0.0,0.0,-29.702386188645796
adaptive_constant_profit,k=0.10_var,"{""k"": 0.1}",21.187760392110615,0.0,0.0,0.0,-25.34067028786601
adaptive_constant_profit,k=0.08_var,"{""k"": 0.08}",16.63985144046297,0.0,0.0,0.0,-20.755836730059233
adaptive_constant_profit,k=0.05_var,"{""k"": 0.05}",10.117069908775983,0.0,0.0,0.0,-13.44034824334052
