ставка_№,банк_до,пик_до,ставка_абс,ставка_%живого,исход,банк_после,DD_от_пика_%
5356,665.0999,2291.6558,6.6510,1.0000,LOSS,658.4489,-70.98
5357,658.4489,2291.6558,6.5845,1.0000,LOSS,651.8644,-71.27
5358,651.8644,2291.6558,6.5186,1.0000,WIN,658.3830,-71.55
5359,658.3830,2291.6558,6.5838,1.0000,LOSS,651.7992,-71.27
5360,651.7992,2291.6558,6.5180,1.0000,WIN,658.3172,-71.56
5361,658.3172,2291.6558,6.5832,1.0000,WIN,664.9004,-71.27
5362,664.9004,2291.6558,6.6490,1.0000,WIN,671.5494,-70.99
5363,671.5494,2291.6558,6.7155,1.0000,LOSS,664.8339,-70.70
5364,664.8339,2291.6558,6.6483,1.0000,WIN,671.4822,-70.99
5365,671.4822,2291.6558,6.7148,1.0000,WIN,678.1970,-70.70
5366,678.1970,2291.6558,6.7820,1.0000,WIN,684.9790,-70.41
5367,684.9790,2291.6558,6.8498,1.0000,WIN,691.8288,-70.11
5368,691.8288,2291.6558,6.9183,1.0000,WIN,698.7471,-69.81
5369,698.7471,2291.6558,6.9875,1.0000,LOSS,691.7596,-69.51
5370,691.7596,2291.6558,6.9176,1.0000,WIN,698.6772,-69.81
5371,698.6772,2291.6558,6.9868,1.0000,LOSS,691.6904,-69.51
5372,691.6904,2291.6558,6.9169,1.0000,LOSS,684.7735,-69.82
5373,684.7735,2291.6558,6.8477,1.0000,LOSS,677.9258,-70.12
5374,677.9258,2291.6558,6.7793,1.0000,WIN,684.7051,-70.42
5375,684.7051,2291.6558,6.8471,1.0000,WIN,691.5521,-70.12
5376,691.5521,2291.6558,6.9155,1.0000,WIN,698.4676,-69.82
5377,698.4676,2291.6558,6.9847,1.0000,LOSS,691.4830,-69.52
5378,691.4830,2291.6558,6.9148,1.0000,LOSS,684.5681,-69.83
5379,684.5681,2291.6558,6.8457,1.0000,LOSS,677.7224,-70.13
5380,677.7224,2291.6558,6.7772,1.0000,WIN,684.4997,-70.43
5381,684.4997,2291.6558,6.8450,1.0000,WIN,691.3447,-70.13
5382,691.3447,2291.6558,6.9134,1.0000,LOSS,684.4312,-69.83
5383,684.4312,2291.6558,6.8443,1.0000,LOSS,677.5869,-70.13
5384,677.5869,2291.6558,6.7759,1.0000,WIN,684.3628,-70.43
5385,684.3628,2291.6558,6.8436,1.0000,LOSS,677.5191,-70.14
5386,677.5191,2291.6558,6.7752,1.0000,WIN,684.2943,-70.44
5387,684.2943,2291.6558,6.8429,1.0000,LOSS,677.4514,-70.14
5388,677.4514,2291.6558,6.7745,1.0000,WIN,684.2259,-70.44
5389,684.2259,2291.6558,6.8423,1.0000,WIN,691.0682,-70.14
5390,691.0682,2291.6558,6.9107,1.0000,WIN,697.9788,-69.84
5391,697.9788,2291.6558,6.9798,1.0000,LOSS,690.9991,-69.54
5392,690.9991,2291.6558,6.9100,1.0000,WIN,697.9091,-69.85
5393,697.9091,2291.6558,6.9791,1.0000,LOSS,690.9300,-69.55
5394,690.9300,2291.6558,6.9093,1.0000,LOSS,684.0207,-69.85
5395,684.0207,2291.6558,6.8402,1.0000,WIN,690.8609,-70.15
5396,690.8609,2291.6558,6.9086,1.0000,LOSS,683.9523,-69.85
5397,683.9523,2291.6558,6.8395,1.0000,LOSS,677.1127,-70.15
5398,677.1127,2291.6558,6.7711,1.0000,LOSS,670.3416,-70.45
5399,670.3416,2291.6558,6.7034,1.0000,WIN,677.0450,-70.75
5400,677.0450,2291.6558,6.7705,1.0000,LOSS,670.2746,-70.46
5401,670.2746,2291.6558,6.7027,1.0000,LOSS,663.5718,-70.75
5402,663.5718,2291.6558,6.6357,1.0000,WIN,670.2075,-71.04
5403,670.2075,2291.6558,6.7021,1.0000,LOSS,663.5055,-70.75
5404,663.5055,2291.6558,6.6351,1.0000,WIN,670.1405,-71.05
5405,670.1405,2291.6558,6.7014,1.0000,WIN,676.8419,-70.76
5406,676.8419,2291.6558,6.7684,1.0000,LOSS,670.0735,-70.46
5407,670.0735,2291.6558,6.7007,1.0000,LOSS,663.3728,-70.76
5408,663.3728,2291.6558,6.6337,1.0000,WIN,670.0065,-71.05
5409,670.0065,2291.6558,6.7001,1.0000,WIN,676.7066,-70.76
5410,676.7066,2291.6558,6.7671,1.0000,WIN,683.4736,-70.47
5411,683.4736,2291.6558,6.8347,1.0000,WIN,690.3084,-70.18
5412,690.3084,2291.6558,6.9031,1.0000,LOSS,683.4053,-69.88
5413,683.4053,2291.6558,6.8341,1.0000,LOSS,676.5712,-70.18
5414,676.5712,2291.6558,6.7657,1.0000,WIN,683.3369,-70.48
5415,683.3369,2291.6558,6.8334,1.0000,LOSS,676.5036,-70.18
5416,676.5036,2291.6558,6.7650,1.0000,LOSS,669.7385,-70.48
5417,669.7385,2291.6558,6.6974,1.0000,LOSS,663.0412,-70.77
5418,663.0412,2291.6558,6.6304,1.0000,LOSS,656.4107,-71.07
5419,656.4107,2291.6558,6.5641,1.0000,LOSS,649.8466,-71.36
5420,649.8466,2291.6558,6.4985,1.0000,LOSS,643.3482,-71.64
5421,643.3482,2291.6558,6.4335,1.0000,WIN,649.7817,-71.93
5422,649.7817,2291.6558,6.4978,1.0000,WIN,656.2795,-71.65
